,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony,Municipality,Province,Population,Population_density(p/km)
269,GM0779,2016JJ00,26.0,17.0,64.0,1.0,1.0,3.0,25.0,1.0,68.0,71.0,15.0,47.0,9.0,9.0,1.0,37.0,2.0,198.0,5.0,10.0,4.0,Geertruidenberg,North Brabant,21597.0,806.0
270,GM0784,2016JJ00,33.0,18.0,102.0,5.0,1.0,13.0,37.0,7.0,120.0,118.0,19.0,31.0,25.0,12.0,2.0,56.0,9.0,137.0,4.0,6.0,16.0,Gilze en Rijen,North Brabant,26013.0,391.0
271,GM0785,2016JJ00,28.0,19.0,74.0,0.0,0.0,3.0,31.0,2.0,84.0,110.0,13.0,29.0,13.0,10.0,1.0,40.0,3.0,70.0,7.0,6.0,10.0,Goirle,North Brabant,23060.0,542.0
272,GM0786,2016JJ00,20.0,8.0,50.0,2.0,1.0,3.0,16.0,4.0,38.0,42.0,14.0,19.0,18.0,14.0,5.0,32.0,2.0,52.0,1.0,2.0,8.0,Grave,North Brabant,12696.0,471.0
273,GM0788,2016JJ00,25.0,9.0,16.0,0.0,0.0,3.0,5.0,0.0,15.0,22.0,2.0,20.0,20.0,3.0,0.0,10.0,1.0,32.0,1.0,0.0,2.0,Haaren,North Brabant,13578.0,236.0
274,GM0794,2016JJ00,279.0,95.0,699.0,24.0,5.0,34.0,313.0,29.0,1124.0,362.0,74.0,175.0,155.0,66.0,36.0,360.0,26.0,577.0,21.0,70.0,54.0,Helmond,North Brabant,89346.0,1668.0
275,GM0796,2016JJ00,314.0,157.0,1069.0,35.0,5.0,85.0,426.0,48.0,1005.0,1681.0,256.0,283.0,248.0,100.0,31.0,562.0,81.0,982.0,43.0,320.0,94.0,Hertogenbosch !'s-Hertogenbosch,North Brabant,143745.0,1680.0
276,GM0797,2016JJ00,42.0,22.0,121.0,0.0,0.0,2.0,49.0,8.0,76.0,213.0,42.0,56.0,31.0,45.0,4.0,65.0,7.0,156.0,5.0,19.0,17.0,Heusden,North Brabant,43180.0,547.0
277,GM0798,2016JJ00,28.0,5.0,33.0,2.0,0.0,3.0,14.0,1.0,54.0,45.0,11.0,30.0,29.0,40.0,0.0,19.0,0.0,38.0,2.0,15.0,2.0,Hilvarenbeek,North Brabant,15082.0,159.0
278,GM0809,2016JJ00,33.0,10.0,108.0,0.0,1.0,4.0,38.0,5.0,97.0,149.0,9.0,21.0,28.0,12.0,7.0,62.0,8.0,119.0,4.0,34.0,13.0,Loon op Zand,North Brabant,23104.0,460.0
